index,Sku,Style Id,Gender,Catalog,Category,Weight,TP 1,TP 2,Ajio MRP,Amazon MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Snapdeal MRP
1,Os206_3141_S,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
2,Os206_3141_M,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
3,Os206_3141_L,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
4,Os206_3141_XL,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
5,Os206_3141_2XL,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
6,Os206_3141_3XL,Os206_3141,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
7,Os223_3142_S,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
8,Os223_3142_M,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
9,Os223_3142_L,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
10,Os223_3142_XL,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
11,Os223_3142_2XL,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
12,Os223_3142_3XL,Os223_3142,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
13,Os212_3143_S,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
14,Os212_3143_M,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
15,Os212_3143_L,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
16,Os212_3143_XL,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
17,Os212_3143_2XL,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
18,Os212_3143_3XL,Os212_3143,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
19,Os214_3144_S,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
20,Os214_3144_M,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
21,Os214_3144_L,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
22,Os214_3144_XL,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
23,Os214_3144_2XL,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
24,Os214_3144_3XL,Os214_3144,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
25,Os207_3145_S,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
26,Os207_3145_M,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
27,Os207_3145_L,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
28,Os207_3145_XL,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
29,Os207_3145_2XL,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
30,Os207_3145_3XL,Os207_3145,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
31,Os202_3146_S,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
32,Os202_3146_M,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
33,Os202_3146_L,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
34,Os202_3146_XL,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
35,Os202_3146_2XL,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
36,Os202_3146_3XL,Os202_3146,Male,Moments,Kurta,0.3,538,435.78,2295,2295,2295,2295,2295,2295
37,Os181_5051_S,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
38,Os181_5051_M,Os181_5051,Male,Colors-8,Kurta,0.3,438,354.78,1895,1895,1895,1895,1895,1895
